DÍA,FECHA,CLIENTES_AM,CLIENTES_PM,CLIENTES_TOTAL,VENTAS_AM,VENTAS_PM,VENTAS_TOTALES
MIÉRCOLES,2/10/2019,,,231,,,3119
JUEVES,3/10/2019,,,240,,,3039
VIERNES,4/10/2019,,,349,,,5001
SÁBADO,5/10/2019,,,458,,,8775
DOMINGO,6/10/2019,,,254,,,4803
LUNES,7/10/2019,,,223,,,3165
MARTES,8/10/2019,,,220,,,6087
MIÉRCOLES,9/10/2019,,,245,,,3279
JUEVES,10/10/2019,,,295,,,3860
VIERNES,11/10/2019,,,299,,,4808
SÁBADO,12/10/2019,,,442,,,8762
DOMINGO,13/10/2019,,,248,,,4612
LUNES,14/10/2019,,,207,,,3095
MARTES,15/10/2019,,,225,,,3473
MIÉRCOLES,16/10/2019,,,197,,,2711
JUEVES,17/10/2019,,,240,,,3416
VIERNES,18/10/2019,,,379,,,5596
SÁBADO,19/10/2019,,,454,,,8796
DOMINGO,20/10/2019,,,294,,,5760
LUNES,21/10/2019,,,267,,,4108
MARTES,22/10/2019,,,288,,,4276
MIÉRCOLES,23/10/2019,,,244,,,3363
JUEVES,24/10/2019,,,243,,,3414
VIERNES,25/10/2019,,,293,,,4375
SÁBADO,26/10/2019,,,482,,,9017
DOMINGO,27/10/2019,,,237,,,4374
LUNES,28/10/2019,,,276,,,4023
MARTES,29/10/2019,,,200,,,2735
MIÉRCOLES,30/10/2019,,,250,,,3263
JUEVES,31/10/2019,,,283,,,"3965,46"
VIERNES,1/11/2019,,,454,,,8296
SÁBADO,2/11/2019,,,496,,,9330
DOMINGO,3/11/2019,,,237,,,4403
LUNES,4/11/2019,,,236,,,3223
MARTES,5/11/2019,,,213,,,2919
MIÉRCOLES,6/11/2019,,,264,,,3393
JUEVES,7/11/2019,,,257,,,3540
VIERNES,8/11/2019,,,355,,,5238
SÁBADO,9/11/2019,,,461,,,8377
DOMINGO,10/11/2019,,,174,,,3298
LUNES,11/11/2019,,,235,,,3182
MARTES,12/11/2019,,,202,,,2609
MIÉRCOLES,13/11/2019,,,252,,,3147
JUEVES,14/11/2019,,,240,,,3110
VIERNES,15/11/2019,,,398,,,6443
SÁBADO,16/11/2019,,,509,,,9864
DOMINGO,17/11/2019,,,226,,,4454
LUNES,18/11/2019,,,247,,,3351
MARTES,19/11/2019,,,229,,,3027
MIÉRCOLES,20/11/2019,,,210,,,2871
JUEVES,21/11/2019,,,241,,,3228
VIERNES,22/11/2019,,,356,,,5450
SÁBADO,23/11/2019,,,519,,,9674
DOMINGO,24/11/2019,,,341,,,6599
LUNES,25/11/2019,,,293,,,4027
MARTES,26/11/2019,,,203,,,2738
MIÉRCOLES,27/11/2019,,,301,,,4238
JUEVES,28/11/2019,,,344,,,"4703,6"
