DÍA,FECHA,CLIENTES_AM,CLIENTES_PM,CLIENTES_TOTAL
LUNES,21/03/2022,103,0,103
MARTES,22/03/2022,91,0,91
MIÉRCOLES,23/03/2022,91,28,119
JUEVES,24/03/2022,138,35,173
VIERNES,25/03/2022,99,82,181
SÁBADO,26/03/2022,139,113,252
DOMINGO,27/03/2022,119,32,151
LUNES,28/03/2022,61,0,61
MARTES,29/03/2022,78,21,99
MIÉRCOLES,30/03/2022,124,44,168
JUEVES,31/03/2022,124,12,136
VIERNES,1/04/2022,92,92,184
SÁBADO,2/04/2022,140,132,272
DOMINGO,3/04/2022,140,28,168
LUNES,4/04/2022,125,26,151
MARTES,5/04/2022,135,42,177
MIÉRCOLES,6/04/2022,140,19,159
JUEVES,7/04/2022,110,16,126
VIERNES,8/04/2022,112,68,180
SÁBADO,9/04/2022,132,93,225
DOMINGO,10/04/2022,130,46,176
LUNES,11/04/2022,103,52,155
MARTES,12/04/2022,143,50,193
MIÉRCOLES,13/04/2022,117,44,161
JUEVES,14/04/2022,90,92,182
VIERNES,15/04/2022,134,86,220
SÁBADO,16/04/2022,127,116,243
DOMINGO,17/04/2022,0,123,123
LUNES,18/04/2022,122,25,147
MARTES,19/04/2022,123,45,168
MIÉRCOLES,20/04/2022,161,28,189
JUEVES,21/04/2022,128,59,187
VIERNES,22/04/2022,103,95,198
SÁBADO,23/04/2022,178,143,321
DOMINGO,24/04/2022,115,35,150
LUNES,25/04/2022,99,60,159
MARTES,26/04/2022,104,29,133
MIÉRCOLES,27/04/2022,113,50,163
JUEVES,28/04/2022,90,28,118
VIERNES,29/04/2022,118,65,183
SÁBADO,30/04/2022,145,121,266
DOMINGO,1/05/2022,135,59,194
LUNES,2/05/2022,127,10,137
MARTES,3/05/2022,116,24,140
MIÉRCOLES,4/05/2022,136,9,145
JUEVES,5/05/2022,76,23,99
VIERNES,6/05/2022,97,76,173
SÁBADO,7/05/2022,136,128,264
DOMINGO,8/05/2022,96,19,115
LUNES,9/05/2022,111,49,160
MARTES,10/05/2022,85,38,123
MIÉRCOLES,11/05/2022,127,41,168
JUEVES,12/05/2022,108,25,133
VIERNES,13/05/2022,111,72,183
SÁBADO,14/05/2022,109,89,198
DOMINGO,15/05/2022,140,48,188
LUNES,16/05/2022,0,61,61
MARTES,17/05/2022,106,21,127
MIÉRCOLES,18/05/2022,125,34,159
JUEVES,19/05/2022,127,36,163
VIERNES,20/05/2022,86,80,166
SÁBADO,21/05/2022,171,145,316
DOMINGO,22/05/2022,0,154,154
LUNES,23/05/2022,77,19,96
MARTES,24/05/2022,108,72,180
MIÉRCOLES,25/05/2022,178,39,217
JUEVES,26/05/2022,100,16,116
VIERNES,27/05/2022,85,65,150
SÁBADO,28/05/2022,96,46,142
DOMINGO,29/05/2022,98,30,128
LUNES,30/05/2022,132,25,157
MARTES,31/05/2022,140,85,225
MIÉRCOLES,1/06/2022,102,18,120
JUEVES,2/06/2022,101,38,139
VIERNES,3/06/2022,77,61,138
SÁBADO,4/06/2022,138,135,273
DOMINGO,5/06/2022,96,27,123
LUNES,6/06/2022,93,48,141
MARTES,7/06/2022,108,20,128
MIÉRCOLES,8/06/2022,130,53,183
JUEVES,9/06/2022,115,40,155
VIERNES,10/06/2022,138,83,221
SÁBADO,11/06/2022,97,107,204
DOMINGO,12/06/2022,97,30,127
LUNES,13/06/2022,95,27,122
MARTES,14/06/2022,135,52,187
MIÉRCOLES,15/06/2022,115,23,138
JUEVES,16/06/2022,91,15,106
VIERNES,17/06/2022,104,86,190
SÁBADO,18/06/2022,102,100,202
DOMINGO,19/06/2022,80,34,114
LUNES,20/06/2022,90,22,112
MARTES,21/06/2022,113,60,173
MIÉRCOLES,22/06/2022,111,29,140
JUEVES,23/06/2022,101,14,115
VIERNES,24/06/2022,107,109,216
SÁBADO,25/06/2022,129,123,252
DOMINGO,26/06/2022,115,19,134
LUNES,27/06/2022,102,40,142
MARTES,28/06/2022,66,17,83
MIÉRCOLES,29/06/2022,92,15,107
JUEVES,30/06/2022,70,43,113
VIERNES,1/07/2022,88,67,155
SÁBADO,2/07/2022,81,96,177
DOMINGO,3/07/2022,120,25,145
LUNES,4/07/2022,102,10,112
MARTES,5/07/2022,101,49,150
MIÉRCOLES,6/07/2022,132,20,152
JUEVES,7/07/2022,101,47,148
VIERNES,8/07/2022,120,55,175
SÁBADO,9/07/2022,82,71,153
DOMINGO,10/07/2022,90,48,138
LUNES,11/07/2022,96,27,123
MARTES,12/07/2022,108,52,160
MIÉRCOLES,13/07/2022,85,81,166
JUEVES,14/07/2022,94,33,127
VIERNES,15/07/2022,87,91,178
SÁBADO,16/07/2022,94,64,158
DOMINGO,17/07/2022,65,24,89
LUNES,18/07/2022,97,29,126
MARTES,19/07/2022,81,27,108
MIÉRCOLES,20/07/2022,88,64,152
JUEVES,21/07/2022,85,14,99
VIERNES,22/07/2022,60,87,147
SÁBADO,23/07/2022,90,62,152
DOMINGO,24/07/2022,58,77,135
LUNES,25/07/2022,47,30,77
MARTES,26/07/2022,77,22,99
MIÉRCOLES,27/07/2022,58,16,74
JUEVES,28/07/2022,81,47,128
VIERNES,29/07/2022,83,69,152
SÁBADO,30/07/2022,75,75,150
DOMINGO,31/07/2022,61,49,110
LUNES,1/08/2022,64,20,84
MARTES,2/08/2022,88,56,144
MIÉRCOLES,3/08/2022,120,58,178
JUEVES,4/08/2022,87,55,142
VIERNES,5/08/2022,91,63,154
SÁBADO,6/08/2022,69,63,132
DOMINGO,7/08/2022,68,29,97
LUNES,8/08/2022,99,16,115
MARTES,9/08/2022,77,42,119
MIÉRCOLES,10/08/2022,101,23,124
JUEVES,11/08/2022,78,36,114
VIERNES,12/08/2022,78,51,129
SÁBADO,13/08/2022,79,74,153
DOMINGO,14/08/2022,70,22,92
LUNES,15/08/2022,76,27,103
MARTES,16/08/2022,91,33,124
MIÉRCOLES,17/08/2022,41,31,72
JUEVES,18/08/2022,83,26,109
VIERNES,19/08/2022,72,46,118
SÁBADO,20/08/2022,50,66,116
DOMINGO,21/08/2022,69,28,97
LUNES,22/08/2022,70,40,110
MARTES,23/08/2022,94,18,112
MIÉRCOLES,24/08/2022,90,35,125
JUEVES,25/08/2022,83,83,166
VIERNES,26/08/2022,78,45,123
SÁBADO,27/08/2022,95,70,165
DOMINGO,28/08/2022,64,37,101
